บาง	b-aa-ng^-0|
พรหมเมศธาดา	phr-o-m^-0|m-ee-t^-2|th-aa-z^-0|d-aa-z^-0|
หื่น	h-vv-n^-1|
ศักยภาพ	s-a-k^-1|k-a-z^-1|j-a-z^-3|ph-aa-p^-2|
โพก	ph-oo-k^-2|
จั๊วะ	c-uua-z^-3|
อุ้ย	z-u-j^-2|
หนาว	n-aa-w^-4|
จัง	c-a-ng^-0|
รวย	r-uua-j^-0|
เจ๊ง	c-ee-ng^-3|
เปลื้อง	pl-vva-ng^-2|
กวินเน็ธ	kw-i-n^-0|n-e-t^-1|
พัลโธรว์	ph-a-l^-0|th-oo-z^-0|
สุพล	s-u-z^-1|ph-o-n^-0|
สิ่ง	s-i-ng^-1|
ติ๋ม	t-i-m^-4|
หวะ	w-a-z^-1|
จักรพรรดินี	c-a-k^-1|kr-a-z^-1|ph-a-t^-3|d-i-z^-1|n-ii-z^-0|
มิชิโกะ	m-i-z^-3|ch-i-z^-3|k-o-z^-1|
เต้น	t-ee-n^-2|
นัดดา	n-a-t^-3|d-aa-z^-0|
องค์	z-o-ng^-0|
เอสฮัก	z-ee-s^-3|h-a-k^-3|
ซาลายมาน	s-aa-z^-0|l-aa-j^-0|m-aa-n^-0|
โอ่	z-oo-z^-1|
เหลอ	l-qq-z^-4|
แซ่เติ่น	s-xx-z^-2|t-qq-n^-1|
ป่าเจ็ง	p-aa-z^-1|c-e-ng^-0|
แซ่กัง	s-xx-z^-2|k-a-ng^-0|
หงิก	ng-i-k^-1|
อาหาร	z-aa-z^-0|h-aa-n^-4|
สรวล	s-uua-n^-4|
เส	s-ee-z^-4|
เฮฮา	h-ee-z^-0|h-aa-z^-0|
ดี๊ด๊า	d-ii-z^-3|d-aa-z^-3|
ชล	ch-o-n^-0|
เซฟ	s-ee-f^-3|
มัด	m-a-t^-3|
อั๋น	z-a-n^-4|
แดนซ์	d-xx-n^-3|
ฉะเชิงเทรา	ch-a-z^-1|ch-qq-ng^-0|s-a-w^-0|
แซง	s-xx-ng^-0|
โคลน	khl-oo-n^-0|
บ้านห้วยเฮี้ย	b-aa-n^-2|h-uua-j^-2|h-iia-z^-3|
เลี่ยง	l-iia-ng^-2|
คาลิปซอล	kh-aa-z^-0|l-i-p^-3|s-@@-l^-3|
ปากีสถาน	p-aa-z^-0|k-ii-z^-0|s-a-z^-1|th-aa-n^-4|
มินิ	m-i-z^-3|n-i-z^-3|
ออฟโรด	z-@@-f^-3|r-oo-t^-3|
โตชิบา	t-oo-z^-0|ch-i-z^-3|b-aa-z^-2|
ไทยแลนด์	th-a-j^-0|l-xx-n^-0|
ศิริธัช	s-i-z^-1|r-i-z^-1|th-a-t^-3|
โรจนพฤกษ์	r-o-t^-2|c-a-z^-1|n-a-z^-3|phr-v-k^-3|
อันตราย	z-a-n^-1|t-a-z^-1|r-aa-j^-0|
สหาย	s-a-z^-1|h-aa-j^-4|
ฌากส์	ch-aa-k^-3|
เข็ด	kh-e-t^-1|
หลาบ	l-aa-p^-1|
ยาก	j-aa-k^-2|
ฟิลิปปินส์	f-i-z^-3|l-i-p^-3|p-i-n^-0|
บำเรอ	b-a-m^-0|r-qq-z^-0|
เดอะมอลล์กรุ๊ป	d-q-z^-1|m-@@-l^-0|kr-u-p^-3|
พลาธ	phl-aa-t^-2|
เลิศ	l-qq-t^-2|
พีเพิ่ล	ph-ii-z^-0|ph-qq-l^-2|
ปาร์ค	p-aa-k^-3|
พิพิธภัณฑสถาน	ph-i-z^-3|ph-i-t^-3|th-a-z^-3|ph-a-n^-0|th-a-z^-3|s-a-z^-1|th-aa-n^-4|
ว่าง	w-aa-ng^-2|
ฟิตเนสส์	f-i-t^-3|n-ee-s^-1|
ลือ	l-vv-z^-0|
ต๋อย	t-@@-j^-4|
ไตรภพ	tr-a-j^-0|ph-o-p^-3|
ประวิทย์	pr-a-z^-1|w-i-t^-3|
มาลีนนท์	m-aa-z^-0|l-ii-z^-0|n-o-n^-0|
พฤษภาคม	ph-v-t^-3|s-a-z^-1|ph-aa-z^-0|kh-o-m^-0|
รุ่ง	r-u-ng^-2|
ทิพย์	th-i-p^-3|
พราว	phr-aa-w^-0|
ทฤก	tr-v-k^-3|
ยูฮัตเนต	j-uu-z^-0|h-a-t^-3|n-ee-t^-1|
เฟสเชอร์เท็น	f-ee-s^-2|ch-qq-z^-0|th-e-n^-0|
คิชฌกูฏ	kh-i-t^-3|ch-a-z^-3|k-uu-t^-1|
จันทเขลม	c-a-n^-0|th-a-z^-3|khl-ee-m^-4|
หยัด	j-a-t^-1|
งี่	ng-ii-z^-1|
เง่า	ng-a-w^-2|
เลียงผา	l-iia-ng^-0|ph-aa-z^-4|
หมูป่า	m-uu-z^-4|p-aa-z^-1|
เทคนิค	th-ee-k^-2|n-i-k^-1|
ฟร็องซ์	fr-@-ng^-3|
น้ำฝน	n-aa-m^-3|f-o-n^-4|
กุลณัฐ	k-u-n^-0|l-a-z^-3|n-a-t^-3|
ปรียะวัฒน์	pr-ii-z^-0|j-a-z^-3|w-a-t^-3|
แข้ง	kh-xx-ng^-2|
หาม	h-aa-m^-4|
โรงพยาบาล	r-oo-ng^-0|ph-a-z^-3|j-aa-z^-0|b-aa-n^-0|
เกษมราษฎร์	k-a-z^-1|s-ee-m^-4|r-aa-t^-2|
ลึก	l-v-k^-3|
โคทม	kh-oo-z^-0|th-o-m^-0|
ปาร์ตี้ลิสต์	p-aa-z^-0|t-ii-z^-2|l-ii-s^-3|
เสียหาย	s-iia-z^-4|h-aa-j^-4|
วอลโว่	w-@@-l^-0|w-oo-z^-2|
สุนารี	s-u-z^-1|n-aa-z^-0|r-ii-z^-0|
สอนนา	s-@@-n^-4|n-aa-z^-0|
ราชสีมา	r-aa-t^-2|ch-a-z^-0|s-ii-z^-4|m-aa-z^-0|
ดรากอนไฟว์	dr-aa-z^-0|k-@@-n^-2|f-a-j^-3|
บับเบิลเกิร์ล	b-a-p^-3|b-qq-l^-2|k-qq-l^-0|
วิทยากร	w-i-t^-3|th-a-z^-0|j-aa-z^-0|k-@@-n^-0|
สนใจ	s-o-n^-4|c-a-j^-0|
เยาวชน	j-a-w^-0|w-a-z^-3|ch-o-n^-0|
พัด	ph-a-t^-3|
กระหน่ำ	kr-a-z^-1|n-a-m^-1|
พฤติกรรม	phr-v-t^-3|t-i-z^-1|k-a-m^-0|
โรเบิร์ต	r-oo-z^-0|b-qq-t^-1|
ฟลาดิเอนเซ่	fl-aa-z^-0|d-i-z^-1|z-ee-n^-0|s-ee-z^-2|
โรสมอราเลส	r-oo-s^-3|m-@@-z^-0|r-aa-z^-0|l-ee-s^-3|
แบรดพิตต์	br-xx-t^-3|ph-i-t^-3|
โคโรลล่า	kh-oo-z^-0|r-oo-l^-0|l-aa-z^-2|
พระเอก	phr-a-z^-3|z-ee-k^-1|
วรเมธ	w-@@-z^-0|r-a-z^-3|m-ee-t^-2|
สายัณห์	s-aa-z^-4|j-a-n^-0|
เนสราช	n-ee-s^-2|r-aa-t^-2|
บางระมาด	b-aa-ng^-0|r-a-z^-3|m-aa-t^-2|
ยีน	j-ii-n^-0|
กำ	k-a-m^-0|
กลม	kl-o-m^-0|
ต้านทาน	t-aa-n^-2|th-aa-n^-0|
ไคล้	khl-a-j^-3|
ถา	th-aa-z^-4|
กี้	k-ii-z^-2|
คะ	kh-a-z^-3|
โป๊	p-oo-z^-3|
ฉาก	ch-aa-k^-1|
โรงหนัง	r-oo-ng^-0|n-a-ng^-4|
เรตเอ็กซ์	r-ee-t^-2|z-e-k^-2|
เซ็นเซอร์	s-e-n^-0|s-qq-z^-2|
ธรรมดา	th-a-m^-0|m-a-z^-3|d-aa-z^-0|
หรูหรา	r-uu-z^-4|r-aa-z^-4|
อนงค์	z-a-z^-0|n-o-ng^-0|
ดาสั่ว	d-aa-z^-0|s-uua-z^-1|
เซมิเทลเลอร์	s-ee-z^-0|m-i-z^-3|th-ee-l^-3|l-qq-z^-2|
กระชั้น	kr-a-z^-1|ch-a-n^-3|
เขย่า	kh-a-z^-1|j-a-w^-1|
ลูกเต๋า	l-uu-k^-2|t-a-w^-4|
เงินเฟ้อ	ng-qq-n^-0|f-qq-z^-3|
แม้ว	m-xx-w^-3|
เฉ่ง	ch-ee-ng^-1|
ปี๋	p-ii-z^-4|
อำพล	z-a-m^-0|ph-o-n^-0|
ทุ่น	th-u-n^-2|
เบ็ด	b-e-t^-1|
กลั่น	kl-a-n^-1|
แกล้ง	kl-xx-ng^-2|
ไททีวี	th-a-j^-0|th-ii-z^-0|w-ii-z^-0|
เนคเทค	n-e-k^-3|th-e-k^-1|
วิทย์	w-i-t^-3|
วีระ	w-ii-z^-0|r-a-z^-3|
สกุลทับ	s-a-z^-1|k-u-n^-0|th-a-p^-3|
จางฉีเย่ว	c-aa-ng^-0|ch-ii-z^-4|j-ee-w^-1|
มาโกโตะ	m-aa-z^-0|k-oo-z^-0|t-o-z^-1|
สุรพงษ์	s-u-z^-1|r-a-z^-0|ph-o-ng^-0|
คูสกุลวัฒน์	kh-uu-z^-0|s-a-z^-0|k-u-n^-0|w-a-t^-3|
อุเทนพัฒนา	z-u-z^-1|th-ee-n^-0|ph-a-t^-3|th-a-z^-0|n-aa-z^-0|
ปิยะมหาราชาลัย	p-i-z^-1|j-a-z^-3|m-a-z^-0|h-aa-z^-4|r-aa-z^-0|ch-aa-z^-0|l-a-j^-0|
ไกล่เกลี่ย	kl-a-j^-1|kl-iia-z^-1|
แย้ง	j-xx-ng^-3|
เวจเทเรียน	w-ee-t^-3|th-ee-z^-0|r-iia-n^-2|
วอยส์ฟอร์	w-@@-j^-0|f-@@-z^-0|
แอนิมอลส์	z-xx-z^-0|n-i-z^-0|m-@@-l^-2|
คราว	khr-aa-w^-0|
เยือน	j-vva-n^-0|
อิกวอลุย	z-i-k^-1|w-@@-z^-0|l-u-j^-0|
อาร์คติค	z-aa-k^-3|t-i-k^-1|
ฉลองพระองค์	ch-a-z^-0|l-@@-ng^-4|phr-a-z^-3|z-o-ng^-0|
แคชเมียร์	kh-xx-ch^-3|m-iia-z^-0|
ขลิบ	khl-i-p^-1|
มิ้งค์	m-i-ng^-3|
ขยับ	kh-a-z^-1|j-a-p^-1|
สุทิน	s-u-z^-1|th-i-n^-0|
เศษ	s-ee-t^-1|
แผง	ph-xx-ng^-4|
อั๊ว	z-uua-z^-3|
อำนาจ	z-a-m^-0|n-aa-t^-2|
ยับ	j-a-p^-3|
ยั้ง	j-a-ng^-3|
เบ็ดเตล็ด	b-e-t^-1|t-a-z^-0|l-e-t^-1|
กิฟต์ช็อปรา	k-i-f^-3|ch-@-p^-1|r-aa-z^-0|
ต่างหู	t-aa-ng^-1|h-uu-z^-4|
กิ๊บ	k-i-p^-3|
ปากกา	p-aa-k^-1|k-aa-z^-0|
เอฟดีเอ	z-ee-f^-3|d-ii-z^-0|z-ee-z^-0|
ดิบ	d-i-p^-1|
หมี่	m-ii-z^-1|
วุ้น	w-u-n^-3|
พาสต้า	ph-aa-s^-3|t-aa-z^-2|
ซวย	s-uua-j^-0|
ปริศนา	pr-i-t^-1|s-a-z^-0|n-aa-z^-4|
จิ๋ม	c-i-m^-4|
ท่าแร่	th-a-z^-2|r-xx-z^-2|
บางพลีใหญ่	b-aa-ng^-0|phl-ii-z^-0|j-a-j^-1|
เอกชัย	z-ee-k^-1|k-a-z^-1|ch-a-j^-0|
พันเอก	ph-a-n^-0|z-ee-k^-1|
มรสุม	m-@@-z^-0|r-a-z^-3|s-u-m^-4|
พรู	phr-uu-z^-0|
เอี่ยว	z-iia-w^-1|
ปฏิเสธ	p-a-z^-1|t-i-z^-1|s-ee-t^-1|
สัมพันธ์	s-a-m^-4|ph-a-n^-0|
มาเฟีย	m-aa-z^-0|f-iia-z^-0|
คลาแร็งส์	khl-aa-z^-0|r-x-ng^-0|
คนงาน	kh-o-n^-0|ng-aa-n^-0|
บางกอกกลาส	b-aa-ng^-0|k-@@-k^-1|kl-aa-s^-3|
เฝือก	f-vva-k^-1|
ป๊าก	p-aa-k^-3|
ปรินเตอร์	pr-ii-n^-3|t-qq-z^-2|
พัดลม	ph-a-t^-3|l-o-m^-0|
ฟอร์ม	f-@@-m^-0|
ตะเพิด	t-a-z^-1|ph-qq-t^-2|
กระแหนะ	kr-a-z^-1|n-x-z^-3|
กระแหน	kr-a-z^-1|n-xx-z^-4|
บ่อย	b-@@-j^-1|
บุษบัญชลี	b-u-t^-1|s-a-z^-1|b-a-n^-0|ch-a-z^-3|l-ii-z^-0|
ภู่แก้วเผือก	ph-uu-z^-2|k-xx-w^-2|ph-vva-k^-1|
โสรยา	s-oo-z^-4|r-a-z^-3|j-aa-z^-0|
ศรีมิตร	s-ii-z^-4|m-i-t^-3|
ยุ้ย	j-u-j^-3|
สายไฟ	s-aa-j^-4|f-a-j^-0|
เฟิสต์เฮาส์	f-qq-s^-3|h-a-w^-3|
ตรงข้าม	tr-o-ng^-0|kh-aa-m^-2|
แตกตื่น	t-xx-k^-1|t-vv-n^-1|
โกลาหล	k-oo-z^-0|l-aa-z^-0|h-o-n^-4|
ฉีด	ch-ii-t^-1|
รูปร่าง	r-uu-p^-2|r-aa-ng^-2|
ร็อกเชลเตอร์	r-@-k^-3|ch-ee-l^-0|t-qq-z^-2|
ผา	ph-aa-z^-4|
พรุ่งนี้	phr-u-ng^-2|n-ii-z^-3|
นักแสดง	n-a-k^-3|s-a-z^-1|d-xx-ng^-0|
อาวุโส	z-aa-z^-0|w-u-z^-3|s-oo-z^-4|
สนิทสนม	s-a-z^-1|n-i-t^-1|s-a-z^-1|n-o-m^-4|
จารุณี	c-aa-z^-0|r-u-z^-3|n-ii-z^-0|
ชูชาติ	ch-uu-z^-0|ch-aa-t^-2|
สมานโสติวงศ์	s-a-z^-1|m-aa-n^-4|s-oo-z^-4|t-i-z^-0|w-o-ng^-0|
สอบถาม	s-@@-p^-1|th-aa-m^-4|
เบื้องต้น	b-vva-ng^-2|t-o-n^-2|
โก่ง	k-oo-ng^-1|
ลามก	l-aa-z^-0|m-o-k^-3|
คุนิฮิโกะ	kh-u-z^-3|n-i-z^-3|h-i-z^-3|k-o-z^-1|
ซูซูกิ	s-uu-z^-0|s-uu-z^-0|k-i-z^-1|
พลาสเตอร์	phl-aa-s^-3|t-qq-z^-2|
สปอร์ตไลท์	s-a-z^-0|p-@@-t^-1|l-a-j^-3|
ส่อง	s-@@-ng^-1|
ตั้งใจ	t-a-ng^-2|c-a-j^-0|
เนื้อความ	n-vva-z^-3|khw-aa-m^-0|
ขาโจ๋	kh-aa-z^-4|c-oo-z^-4|
ฉงน	ch-a-z^-1|ng-o-n^-4|
กรง	kr-o-ng^-0|
มัลติเพล็กซ์	m-a-n^-0|t-i-z^-1|phl-ee-k^-1|
พาวเวอร์	ph-aa-w^-0|w-qq-z^-2|
เจล	c-ee-l^-0|
ปอนด์	p-@@-n^-0|
หมอนวด	m-@@-z^-4|n-uua-t^-2|
นุ่น	n-u-n^-2|
ไฮ้	h-a-j^-3|
ทรีนิตี้	thr-ii-z^-0|n-i-z^-0|t-ii-z^-2|
ซับโบรกเกอร์	s-a-p^-3|br-oo-k^-3|k-qq-z^-2|
หลักทรัพย์	l-a-k^-1|s-a-p^-3|
ธนชาติ	th-a-z^-0|n-a-z^-3|ch-aa-t^-2|
องค์การ	z-o-ng^-0|k-aa-n^-0|
ฮิตเลอร์	h-i-t^-3|l-qq-z^-2|
ปฏิวัติ	p-a-z^-1|t-i-z^-1|w-a-t^-3|
โบสถ์	b-oo-t^-1|
อนาจาร	z-a-z^-1|n-aa-z^-0|c-aa-n^-0|
สงบ	s-a-z^-1|ng-o-p^-1|
เรียบร้อย	r-iia-p^-2|r-@@-j^-3|
แก้ไข	k-xx-z^-2|kh-a-j^-4|
คีบ	kh-ii-p^-2|
มนต์ตรา	m-o-n^-0|tr-aa-z^-0|
ร้าง	r-aa-ng^-3|
เกาะเกร็ด	k-@-z^-1|kr-e-t^-1|
นนทบุรี	n-o-n^-0|th-a-z^-3|b-u-z^-1|r-ii-z^-0|
เคเบิล	kh-ee-z^-0|b-qq-l^-2|
สัญญาณ	s-a-n^-4|j-aa-n^-0|
ผู้ดี	ph-uu-z^-2|d-ii-z^-0|
ฟ้าชาย	f-aa-z^-3|ch-aa-j^-0|
ชาร์ลส์	ch-aa-l^-0|
ดุจ	d-u-t^-1|
เปรียบเทียบ	pr-iia-p^-1|th-iia-p^-2|
พระเจ้าหลุยส์	phr-a-z^-3|c-a-w^-2|l-u-j^-3|
ปาน	p-aa-n^-0|
ด่าน	d-aa-n^-1|
ทันที	th-a-n^-0|th-ii-z^-0|
โจอี้บอย	c-oo-z^-0|z-ii-z^-2|b-@@-j^-0|
มลทิน	m-o-n^-0|th-i-n^-0|
เทวราชกุญชร	th-ee-z^-0|w-a-z^-0|r-aa-t^-2|k-u-n^-0|ch-@@-n^-0|
คฤบดี	kh-a-z^-3|r-v-z^-3|b-@@-z^-0|d-ii-z^-0|
หย่า	j-aa-z^-1|
แหก	h-xx-k^-1|
เอ๊	z-ee-z^-3|
แหะ	h-x-z^-1|
ชี้แจง	ch-ii-z^-3|c-xx-ng^-0|
อ้อ	z-@@-z^-2|
เบา	b-a-w^-0|
ฮึ	h-v-z^-3|
แมงลัก	m-xx-ng^-0|l-a-k^-3|
เภสัช	ph-ee-z^-0|s-a-t^-1|
วิทยาลัย	w-i-t^-3|th-a-z^-3|j-aa-z^-0|l-a-j^-0|
เหม่อ	m-qq-z^-1|
ห้วยจรเข้	h-uua-j^-2|c-@@-z^-0|r-a-z^-3|kh-ee-z^-2|
อินเตอร์เน็ต	z-i-n^-0|t-qq-z^-0|n-e-t^-3|
กรุ๊ปเลือด	kr-u-p^-3|l-vva-t^-2|
ขาดแคลน	kh-aa-t^-1|khl-xx-n^-0|
เอบี	z-ee-z^-0|b-ii-z^-0|
โอ	z-oo-z^-0|
เฟริกซ์	fr-qq-k^-3|
บางเสร่	b-aa-ng^-0|s-a-z^-0|r-ee-z^-1|
หาด	h-aa-t^-1|
จอมเทียน	c-@@-m^-0|th-iia-n^-0|
ซี้	s-ii-z^-3|
ซั้ว	s-uua-z^-3|
สาบ	s-aa-p^-1|
สงขลา	s-o-ng^-4|khl-aa-z^-4|
มาตรการ	m-aa-t^-2|tr-a-z^-1|k-aa-n^-0|
กรรม	k-a-m^-0|
อาจารย์	z-aa-z^-0|c-aa-n^-0|
สมบัติเจริญ	s-o-m^-4|b-a-t^-1|c-a-z^-1|r-qq-n^-0|
ปร้าง	pr-aa-ng^-2|
นิด	n-i-t^-3|
ร่อ	r-@@-z^-2|
ปวด	p-uua-t^-1|
ทุรน	th-u-z^-3|r-o-n^-0|
ทุราย	th-u-z^-3|r-aa-j^-0|
เปียก	p-iia-k^-1|
ทารก	th-aa-z^-0|r-o-k^-3|
ฟรีโฟลต	fr-ii-z^-0|fl-oo-t^-2|
ไอเอ็มเอฟ	z-a-j^-0|z-e-m^-0|z-ee-f^-3|
เฮาส์ออฟลอร์ด	h-a-w^-0|z-@@-f^-1|l-@@-t^-2|
พิพากษา	ph-i-z^-3|ph-aa-k^-2|s-aa-z^-4|
ทอร์สเทน	th-@@-s^-3|th-ee-n^-0|
ฟริงส์เยนส์	fr-i-ng^-0|j-ee-n^-0|
เยเรมีส์	j-ee-z^-0|r-ee-z^-0|m-ii-z^-2|
ดิทมาร์	d-i-t^-3|m-aa-z^-0|
ฮามันน์	h-aa-z^-0|m-a-n^-0|
นอยวิลล์	n-@@-j^-0|w-i-l^-0|
มาร์โค	m-aa-z^-0|kh-oo-z^-0|
โบเด้	b-oo-z^-0|d-ee-z^-2|
มิโรส	m-i-z^-0|r-oo-s^-3|
ลาฟ	l-aa-f^-2|
โต้ตอบ	t-oo-z^-2|t-@@-p^-1|
หวาดเสียว	w-aa-t^-1|s-iia-w^-4|
ชไนเดอร์	ch-a-z^-3|n-a-j^-0|d-qq-z^-2|
ฟริงส์	fr-i-ng^-0|
คาห์นเซฟ	kh-aa-n^-0|s-ee-f^-3|
ปลายตีน	pl-aa-j^-0|t-ii-n^-0|
โล้น	l-oo-n^-3|
โรนัลโด	r-oo-z^-0|n-a-l^-0|d-oo-z^-2|
หวิด	w-i-t^-1|
มิติ	m-i-z^-3|t-i-z^-1|
อุ้ยอ้าย	z-u-z^-2|z-aa-j^-2|
ไทยรัฐ	th-a-j^-0|r-a-t^-3|
ประทาน	pr-a-z^-1|th-aa-n^-0|
ไขมัน	kh-a-j^-4|m-a-n^-0|
รสเค็ม	r-o-t^-3|kh-e-m^-0|
ล่าง	l-aa-ng^-2|
ดรีม	dr-ii-m^-0|
สตางค์	s-a-z^-0|t-aa-ng^-0|
เอ็กซ์เพรส	z-e-k^-3|phr-ee-s^-2|
ซิตี้แบงก์	s-i-z^-3|t-ii-z^-2|b-xx-ng^-3|
ส่วนตัว	s-uua-n^-1|t-uua-z^-0|
พระราชทาน	phr-a-z^-3|r-aa-t^-2|ch-a-z^-3|th-aa-n^-0|
เมนู	m-ee-z^-0|n-uu-z^-0|
แกงเขียวหวาน	k-xx-ng^-0|kh-iia-w^-4|w-aa-n^-4|
สอดไส้	s-@@-t^-1|s-a-j^-2|
ไข่เค็ม	kh-a-j^-1|kh-e-m^-0|
ถั่วหวาน	th-uua-z^-1|w-aa-n^-4|
อดุลย์	z-a-z^-1|d-u-n^-0|
โกลก	k-oo-z^-1|l-o-k^-4|
สุพจน์	s-u-z^-1|ph-o-t^-3|
พรหมศิริ	phr-o-m^-0|s-i-z^-1|r-i-z^-1|
ศิริ	s-i-z^-1|r-i-z^-3|
สะมะแอ	s-a-z^-1|m-a-z^-3|z-xx-z^-0|
บาโงดูดง	b-aa-z^-0|ng-oo-z^-0|d-uu-z^-0|d-o-ng^-0|
กระด้าง	kr-a-z^-1|d-aa-ng^-2|
ตัวเลข	t-uua-z^-0|l-ee-k^-2|
ถู	th-uu-z^-4|
มหกรรม	m-a-z^-3|h-a-z^-1|k-a-m^-0|
บรูโนเม็ตซู	br-uu-z^-0|n-oo-z^-0|m-e-t^-3|s-uu-z^-0|
โทนีซิลวา	th-oo-z^-0|n-ii-z^-2|s-i-l^-0|w-aa-z^-0|
ระลอก	r-a-z^-3|l-@@-k^-2|
วิลตอร์	w-i-l^-0|t-@@-z^-2|
โทษ	th-oo-t^-2|
โคนม	kh-oo-z^-0|n-o-m^-0|
ฮีโร่	h-ii-z^-0|r-oo-z^-2|
เลส์เบลอส์	l-ee-z^-0|bl-qq-z^-0|
รัศมี	r-a-t^-3|s-a-z^-0|m-ii-z^-4|
ห้องโถง	h-@@-ng^-2|th-oo-ng^-4|
เกี่ยวข้อง	k-iia-w^-1|kh-@@-ng^-2|
ล่ม	l-o-m^-2|
เภสัชกรรม	ph-ee-z^-0|s-a-t^-1|ch-a-z^-3|k-a-m^-0|
ระวัย	r-a-z^-3|w-a-j^-0|
ภู้ผะกา	ph-uu-z^-3|ph-a-z^-1|k-aa-z^-0|
รถสิบล้อ	r-o-t^-3|s-i-p^-1|l-@@-z^-3|
กิตติศักดิ์	k-i-t^-1|t-i-z^-1|s-a-k^-1|
พยุง	ph-a-z^-0|j-u-ng^-0|
การท่าเรือ	k-aa-n^-0|th-aa-z^-2|r-vva-z^-0|
ประเทศไทย	pr-a-z^-1|th-ee-t^-2|th-a-j^-0|
ไทยเดินเรือทะเล	th-a-j^-0|d-qq-n^-0|r-vva-z^-0|th-a-z^-3|l-ee-z^-0|
หวิว	w-i-w^-4|
นางเอก	n-aa-ng^-0|z-ee-k^-1|
ก้อนเนื้อ	k-@@-n^-2|n-vva-z^-3|
ผ่าตัด	ph-aa-z^-1|t-a-t^-1|
เอาขั้ว	z-a-w^-0|kh-uua-z^-2|
เนื้องอก	n-vva-z^-3|ng-@@-k^-2|
แหง	h-xx-ng^-4|
ล่ะ	l-a-z^-2|
สิครับ	s-i-z^-1|kr-a-p^-3|
แต่งงาน	t-xx-ng^-1|ng-aa-n^-0|
เกลือกกลิ้ง	kl-vva-k^-1|kl-i-ng^-2|
โถง	th-oo-ng^-4|
พลอดรัก	phl-@@-t^-2|r-a-k^-3|
ถึงพริก	th-v-ng^-4|phr-i-k^-3|
ถึงขิง	th-v-ng^-4|kh-i-ng^-4|
ฟรูนิว	fr-uu-z^-0|n-i-w^-0|
ไบเลอร์	b-a-j^-0|l-qq-z^-2|
โต๊ะจีน	t-o-z^-3|c-ii-n^-0|
เศษหนัง	s-ee-t^-1|n-a-ng^-4|
เล็กน้อย	l-e-k^-3|n-@@-j^-3|
แฮนด์ฟรี	h-xx-n^-0|fr-ii-z^-0|
เผชิญ	ph-a-z^-1|ch-qq-n^-0|
ขวากหนาม	khw-aa-k^-1|n-aa-m^-4|
กดขี่	k-o-t^-1|kh-ii-z^-1|
ข่มเหง	kh-o-m^-1|ng-ee-z^-4|
รับโทษ	r-a-p^-3|th-oo-t^-2|
เฉินเบ๋าซิง	ch-qq-n^-4|b-a-w^-4|s-i-ng^-0|
นาร์ด	n-aa-t^-1|
เข้มงวด	kh-e-m^-2|ng-uua-t^-2|
กุญแจ	k-u-n^-0|c-xx-z^-0|
คร่ำคร่า	khr-a-m^-2|khr-aa-z^-2|
สนิมเขรอะ	s-a-z^-1|n-i-m^-4|khr-q-z^-1|
ใช้มือ	ch-a-j^-3|m-vv-z^-0|
กระตุก	kr-a-z^-1|t-u-k^-1|
หลุดแล้ว	l-u-t^-1|l-xx-w^-3|
ขณะนี้	kh-a-z^-0|n-a-z^-1|n-ii-z^-3|
เบลล์ฟลาวเวอร์	b-ee-l^-0|fl-aa-w^-0|w-qq-z^-2|
รองธิดา	r-@@-ng^-0|th-i-z^-3|d-aa-z^-0|
แบ่งแยก	b-xx-ng^-1|j-xx-k^-2|
องค์กร	z-o-ng^-0|k-@@-n^-0|
เข้มแข็ง	kh-e-m^-2|kh-xx-ng^-4|
จึงรุด	c-v-ng^-0|r-u-t^-3|
เกิดเหตุ	k-qq-t^-1|h-ee-t^-1|
เป็นแฟลต	p-e-n^-0|fl-xx-t^-2|
ชั้นนอก	ch-a-n^-3|n-@@-k^-2|
ปิดล็อก	p-i-t^-1|l-@-k^-3|
ด้านใน	d-aa-n^-2|n-a-j^-0|
สั่งการ	s-a-ng^-1|k-aa-n^-0|
แฟลตจึง	fl-xx-t^-1|c-v-ng^-0|
แจ้งตำรวจ	c-xx-ng^-2|t-a-m^-0|r-uua-t^-1|
พระทวิช	phr-a-z^-3|th-a-z^-3|w-i-t^-3|
มาพบ	m-aa-z^-0|ph-o-p^-3|
บันดาล	b-a-n^-0|d-aa-n^-0|
โทสะ	th-oo-z^-0|s-a-z^-1|
อีโต้	z-ii-z^-0|t-oo-z^-2|
ฟันคอ	f-a-n^-0|kh-@@-z^-0|
โรจน์	r-oo-t^-2|
หวิดขาด	w-i-t^-1|kh-aa-t^-1|
ดับสยอง	d-a-p^-1|s-a-z^-1|j-@@-ng^-4|
หลบหนี	l-o-p^-1|n-ii-z^-4|
ยศเส	j-o-t^-3|s-ee-z^-4|
เทพศิรินทร์	th-ee-p^-2|s-i-z^-1|r-i-n^-0|
ป้อมปราบ	p-@@-m^-2|pr-aa-p^-1|
เสริมสวย	s-qq-m^-4|s-uua-j^-4|
อีกราย	z-ii-k^-1|r-aa-j^-0|
เซี้ย	s-iia-z^-3|
เซ่นเถ่า	s-ee-n^-2|th-a-w^-1|
ไต้หวัน	t-a-j^-2|w-a-n^-4|
ร้านเพชร	r-aa-n^-3|ph-e-t^-3|
เหยินเจื้อ	j-qq-n^-0|c-vva-z^-3|
นำชาย	n-a-m^-0|ch-aa-j^-0|
ยอดเยี่ยม	j-@@-t^-2|j-iia-m^-2|
เกร็กสัน	kr-e-k^-2|s-a-n^-4|
